name,ra,dec,channel,x_pos,y_pos,scale,flux,sigma,unit
4u0142+61,26.593363,61.750885,1,367.21479032533466,352.36454440342413,0.6837415196182752,17.316269,2.2095571241305274,uJy
4u0142+61,26.593363,61.750885,1,367.21479032533466,355.1925444034241,0.6837415196182752,27.989258,1.4395074752692718,uJy
4u0142+61,26.593363,61.750885,1,367.21479032533466,358.0205444034241,0.6837415196182752,26.393297,1.140975219924901,uJy
4u0142+61,26.593363,61.750885,1,370.04279032533464,352.36454440342413,0.6837415196182752,20.177128,2.632587214797917,uJy
4u0142+61,26.593363,61.750885,1,370.04279032533464,355.1925444034241,0.6837415196182752,29.885715,1.708333286107557,uJy
4u0142+61,26.593363,61.750885,1,370.04279032533464,358.0205444034241,0.6837415196182752,31.330055,1.0006516652496067,uJy
4u0142+61,26.593363,61.750885,1,372.8707903253346,352.36454440342413,0.6837415196182752,25.054548,2.64275456053635,uJy
4u0142+61,26.593363,61.750885,1,372.8707903253346,355.1925444034241,0.6837415196182752,18.663746,3.3642380276408406,uJy
4u0142+61,26.593363,61.750885,1,372.8707903253346,358.0205444034241,0.6837415196182752,19.951302,1.8074534141312422,uJy
4u0142+61,26.593363,61.750885,1,367.21479032533466,352.36454440342413,1.2595238519284018,33.9189,2.2275486504273476,uJy
4u0142+61,26.593363,61.750885,1,367.21479032533466,355.1925444034241,1.2595238519284018,44.59939,1.4611218849581857,uJy
4u0142+61,26.593363,61.750885,1,367.21479032533466,358.0205444034241,1.2595238519284018,43.091454,1.166451142380437,uJy
4u0142+61,26.593363,61.750885,1,370.04279032533464,352.36454440342413,1.2595238519284018,36.720455,2.626766974130623,uJy
4u0142+61,26.593363,61.750885,1,370.04279032533464,355.1925444034241,1.2595238519284018,46.480824,1.7052358736879287,uJy
4u0142+61,26.593363,61.750885,1,370.04279032533464,358.0205444034241,1.2595238519284018,47.82297,1.0200425418291708,uJy
4u0142+61,26.593363,61.750885,1,372.8707903253346,352.36454440342413,1.2595238519284018,41.46168,2.655310253930119,uJy
4u0142+61,26.593363,61.750885,1,372.8707903253346,355.1925444034241,1.2595238519284018,35.323803,3.3752943602540526,uJy
4u0142+61,26.593363,61.750885,1,372.8707903253346,358.0205444034241,1.2595238519284018,36.535988,1.816376489333309,uJy
4u0142+61,26.593363,61.750885,2,573.4219321298399,432.11232887391964,0.25845693703371103,16.647055,1.8455852053418655,uJy
4u0142+61,26.593363,61.750885,2,573.4219321298399,434.9403288739196,0.25845693703371103,17.019749,1.2788561822252775,uJy
4u0142+61,26.593363,61.750885,2,573.4219321298399,437.7683288739196,0.25845693703371103,9.446145,3.351992996707798,uJy
4u0142+61,26.593363,61.750885,2,576.2499321298399,432.11232887391964,0.25845693703371103,27.386686,0.7140069262732218,uJy
4u0142+61,26.593363,61.750885,2,576.2499321298399,434.9403288739196,0.25845693703371103,30.266502,0.6469825770092194,uJy
4u0142+61,26.593363,61.750885,2,576.2499321298399,437.7683288739196,0.25845693703371103,20.610413,2.4627377650780375,uJy
4u0142+61,26.593363,61.750885,2,579.0779321298398,432.11232887391964,0.25845693703371103,21.554104,2.0024379605284754,uJy
4u0142+61,26.593363,61.750885,2,579.0779321298398,434.9403288739196,0.25845693703371103,25.1808,1.181273134018015,uJy
4u0142+61,26.593363,61.750885,2,579.0779321298398,437.7683288739196,0.25845693703371103,13.296219,3.3712238746915664,uJy
4u0142+61,26.593363,61.750885,2,573.4219321298399,432.11232887391964,0.4761048840094677,22.449375,1.8623124797791621,uJy
4u0142+61,26.593363,61.750885,2,573.4219321298399,434.9403288739196,0.4761048840094677,22.672775,1.2811207950970007,uJy
4u0142+61,26.593363,61.750885,2,573.4219321298399,437.7683288739196,0.4761048840094677,15.251832,3.347286913784025,uJy
4u0142+61,26.593363,61.750885,2,576.2499321298399,432.11232887391964,0.4761048840094677,33.012287,0.7183102385687015,uJy
4u0142+61,26.593363,61.750885,2,576.2499321298399,434.9403288739196,0.4761048840094677,36.1614,0.6493647463373936,uJy
4u0142+61,26.593363,61.750885,2,576.2499321298399,437.7683288739196,0.4761048840094677,26.495974,2.4691739393523013,uJy
4u0142+61,26.593363,61.750885,2,579.0779321298398,432.11232887391964,0.4761048840094677,27.325321,2.0099312469761332,uJy
4u0142+61,26.593363,61.750885,2,579.0779321298398,434.9403288739196,0.4761048840094677,30.992651,1.1808167524658009,uJy
4u0142+61,26.593363,61.750885,2,579.0779321298398,437.7683288739196,0.4761048840094677,18.926992,3.366834565553352,uJy
4u0142+61,26.593363,61.750885,4,363.63374982284574,361.00417320029896,0.7094977684329102,34.653534,3.183068697890761,uJy
4u0142+61,26.593363,61.750885,4,363.63374982284574,363.83217320029894,0.7094977684329102,42.345867,1.8109476230888515,uJy
4u0142+61,26.593363,61.750885,4,363.63374982284574,366.6601732002989,0.7094977684329102,23.75556,4.404424550808478,uJy
4u0142+61,26.593363,61.750885,4,366.4617498228457,361.00417320029896,0.7094977684329102,48.0991,1.4758789043808875,uJy
4u0142+61,26.593363,61.750885,4,366.4617498228457,363.83217320029894,0.7094977684329102,45.187294,1.934503077693437,uJy
4u0142+61,26.593363,61.750885,4,366.4617498228457,366.6601732002989,0.7094977684329102,40.24202,4.061986255663968,uJy
4u0142+61,26.593363,61.750885,4,369.2897498228457,361.00417320029896,0.7094977684329102,32.752937,4.20286812064378,uJy
4u0142+61,26.593363,61.750885,4,369.2897498228457,363.83217320029894,0.7094977684329102,34.153294,3.165122069678503,uJy
4u0142+61,26.593363,61.750885,4,369.2897498228457,366.6601732002989,0.7094977684329102,21.519472,5.752335006820974,uJy
4u0142+61,26.593363,61.750885,4,363.63374982284574,361.00417320029896,1.3069695734290452,46.34432,3.305501560137724,uJy
4u0142+61,26.593363,61.750885,4,363.63374982284574,363.83217320029894,1.3069695734290452,53.922714,1.8649659220969712,uJy
4u0142+61,26.593363,61.750885,4,363.63374982284574,366.6601732002989,1.3069695734290452,34.871616,4.398492852039188,uJy
4u0142+61,26.593363,61.750885,4,366.4617498228457,361.00417320029896,1.3069695734290452,59.744118,1.48532495190974,uJy
