name,ra,dec,channel,x_pos,y_pos,scale,expected_flux,flux,sigma,unit
cx0100-7211,15.179749,-72.192726,1,652.1275155424005,671.0707310533014,8.27498967419406,78.85030785797666,86.0813724813232,9.149278363300505,uJy
cx0100-7211,15.179749,-72.192726,1,652.1275155424005,673.8987310533014,8.27498967419406,78.85030785797666,94.65422358458397,9.925723182693968,uJy
cx0100-7211,15.179749,-72.192726,1,652.1275155424005,676.7267310533014,8.27498967419406,78.85030785797666,56.97286658827973,9.071411061728123,uJy
cx0100-7211,15.179749,-72.192726,1,654.9555155424005,671.0707310533014,8.27498967419406,78.85030785797666,98.05262201032194,13.277585947447289,uJy
cx0100-7211,15.179749,-72.192726,1,654.9555155424005,673.8987310533014,8.27498967419406,78.85030785797666,142.8150267161071,20.837130338005174,uJy
cx0100-7211,15.179749,-72.192726,1,654.9555155424005,676.7267310533014,8.27498967419406,78.85030785797666,82.94172091463464,25.949610342339213,uJy
cx0100-7211,15.179749,-72.192726,1,657.7835155424004,671.0707310533014,8.27498967419406,78.85030785797666,76.3268434447737,34.15041240244143,uJy
cx0100-7211,15.179749,-72.192726,1,657.7835155424004,673.8987310533014,8.27498967419406,78.85030785797666,170.56963242975414,51.59089769494613,uJy
cx0100-7211,15.179749,-72.192726,1,657.7835155424004,676.7267310533014,8.27498967419406,78.85030785797666,185.51286229157705,60.877887544477105,uJy
cx0100-7211,15.179749,-72.192726,1,652.1275155424005,671.0707310533014,15.243402031410113,145.25056710679914,137.78663130049011,9.232844760627081,uJy
cx0100-7211,15.179749,-72.192726,1,652.1275155424005,673.8987310533014,15.243402031410113,145.25056710679914,147.681444485813,9.994288279533666,uJy
cx0100-7211,15.179749,-72.192726,1,652.1275155424005,676.7267310533014,15.243402031410113,145.25056710679914,108.66119556283114,9.130856206584205,uJy
cx0100-7211,15.179749,-72.192726,1,654.9555155424005,671.0707310533014,15.243402031410113,145.25056710679914,148.49793586326822,13.37977753575932,uJy
cx0100-7211,15.179749,-72.192726,1,654.9555155424005,673.8987310533014,15.243402031410113,145.25056710679914,193.59919151375013,20.913409156053376,uJy
cx0100-7211,15.179749,-72.192726,1,654.9555155424005,676.7267310533014,15.243402031410113,145.25056710679914,133.96804715981358,25.978770171124903,uJy
cx0100-7211,15.179749,-72.192726,1,657.7835155424004,671.0707310533014,15.243402031410113,145.25056710679914,127.0573165908488,34.24835636107119,uJy
cx0100-7211,15.179749,-72.192726,1,657.7835155424004,673.8987310533014,15.243402031410113,145.25056710679914,222.09093235317968,51.657638006797576,uJy
cx0100-7211,15.179749,-72.192726,1,657.7835155424004,676.7267310533014,15.243402031410113,145.25056710679914,237.7614856109256,60.94171782257319,uJy
cx0100-7211,15.179749,-72.192726,2,695.4645399562684,657.231402739244,5.950837999515663,56.4520295986054,44.10479483462573,3.8361965717080397,uJy
cx0100-7211,15.179749,-72.192726,2,695.4645399562684,660.059402739244,5.950837999515663,56.4520295986054,52.763570283500485,4.409053546689702,uJy
cx0100-7211,15.179749,-72.192726,2,695.4645399562684,662.887402739244,5.950837999515663,56.4520295986054,52.586302990997595,7.8606142714645735,uJy
cx0100-7211,15.179749,-72.192726,2,698.2925399562683,657.231402739244,5.950837999515663,56.4520295986054,52.00107634990626,7.803975119687802,uJy
cx0100-7211,15.179749,-72.192726,2,698.2925399562683,660.059402739244,5.950837999515663,56.4520295986054,65.83936335920507,14.939430026086193,uJy
cx0100-7211,15.179749,-72.192726,2,698.2925399562683,662.887402739244,5.950837999515663,56.4520295986054,77.21930137285517,14.8649712891043,uJy
cx0100-7211,15.179749,-72.192726,2,701.1205399562683,657.231402739244,5.950837999515663,56.4520295986054,40.62576715270747,14.64143642144618,uJy
cx0100-7211,15.179749,-72.192726,2,701.1205399562683,660.059402739244,5.950837999515663,56.4520295986054,97.66179444430212,14.647377045826028,uJy
cx0100-7211,15.179749,-72.192726,2,701.1205399562683,662.887402739244,5.950837999515663,56.4520295986054,125.42969152182083,95.20321277711147,uJy
cx0100-7211,15.179749,-72.192726,2,695.4645399562684,657.231402739244,10.9620699991078,103.99058083953625,80.43432361256407,3.8979431159268456,uJy
cx0100-7211,15.179749,-72.192726,2,695.4645399562684,660.059402739244,10.9620699991078,103.99058083953625,89.00223101414574,4.437685751942694,uJy
cx0100-7211,15.179749,-72.192726,2,695.4645399562684,662.887402739244,10.9620699991078,103.99058083953625,90.33050353775846,7.8939580772894224,uJy
cx0100-7211,15.179749,-72.192726,2,698.2925399562683,657.231402739244,10.9620699991078,103.99058083953625,89.30145489507095,7.832099843881579,uJy
cx0100-7211,15.179749,-72.192726,2,698.2925399562683,660.059402739244,10.9620699991078,103.99058083953625,101.98352667289117,15.010917708961674,uJy
cx0100-7211,15.179749,-72.192726,2,698.2925399562683,662.887402739244,10.9620699991078,103.99058083953625,113.68574026539848,14.908558736971557,uJy
cx0100-7211,15.179749,-72.192726,2,701.1205399562683,657.231402739244,10.9620699991078,103.99058083953625,78.22708107312063,14.69584668292021,uJy
cx0100-7211,15.179749,-72.192726,2,701.1205399562683,660.059402739244,10.9620699991078,103.99058083953625,134.04417880853268,14.686644514362689,uJy
cx0100-7211,15.179749,-72.192726,2,701.1205399562683,662.887402739244,10.9620699991078,103.99058083953625,162.86720110264423,95.24569896040941,uJy
cx0100-7211,15.179749,-72.192726,3,552.4687908273463,663.0794565194451,3.3581447448601263,32.28335659747558,1.9660884940948804,6.056847190029104,uJy
cx0100-7211,15.179749,-72.192726,3,552.4687908273463,665.9074565194451,3.3581447448601263,32.28335659747558,21.53717677155286,7.115043051024627,uJy
cx0100-7211,15.179749,-72.192726,3,552.4687908273463,668.735456519445,3.3581447448601263,32.28335659747558,38.89623823388759,7.156236087230689,uJy
cx0100-7211,15.179749,-72.192726,3,555.2967908273463,663.0794565194451,3.3581447448601263,32.28335659747558,9.46825228774287,7.082062938693688,uJy
cx0100-7211,15.179749,-72.192726,3,555.2967908273463,665.9074565194451,3.3581447448601263,32.28335659747558,15.971962169156319,8.453570309173863,uJy
cx0100-7211,15.179749,-72.192726,3,555.2967908273463,668.735456519445,3.3581447448601263,32.28335659747558,17.03164189112005,16.510905113319065,uJy
cx0100-7211,15.179749,-72.192726,3,558.1247908273463,663.0794565194451,3.3581447448601263,32.28335659747558,5.566354356638296,8.060120808575258,uJy
cx0100-7211,15.179749,-72.192726,3,558.1247908273463,665.9074565194451,3.3581447448601263,32.28335659747558,28.50220480784788,26.921080883362375,uJy
cx0100-7211,15.179749,-72.192726,3,558.1247908273463,668.735456519445,3.3581447448601263,32.28335659747558,63.68986151703303,137.8748026779578,uJy
cx0100-7211,15.179749,-72.192726,3,552.4687908273463,663.0794565194451,6.186056108952864,59.469341100612915,17.74565845329375,6.052548985973767,uJy
cx0100-7211,15.179749,-72.192726,3,552.4687908273463,665.9074565194451,6.186056108952864,59.469341100612915,37.7441854152618,7.178443583525743,uJy
cx0100-7211,15.179749,-72.192726,3,552.4687908273463,668.735456519445,6.186056108952864,59.469341100612915,55.687432627630514,7.181294247034397,uJy
cx0100-7211,15.179749,-72.192726,3,555.2967908273463,663.0794565194451,6.186056108952864,59.469341100612915,24.331553809602187,7.11232666427506,uJy
cx0100-7211,15.179749,-72.192726,3,555.2967908273463,665.9074565194451,6.186056108952864,59.469341100612915,31.846649352055373,8.422681072257742,uJy
cx0100-7211,15.179749,-72.192726,3,555.2967908273463,668.735456519445,6.186056108952864,59.469341100612915,32.030328043647394,16.502843930688446,uJy
cx0100-7211,15.179749,-72.192726,3,558.1247908273463,663.0794565194451,6.186056108952864,59.469341100612915,23.022762771236803,8.041183425114868,uJy
cx0100-7211,15.179749,-72.192726,3,558.1247908273463,665.9074565194451,6.186056108952864,59.469341100612915,44.899775945048084,26.918003063144084,uJy
cx0100-7211,15.179749,-72.192726,3,558.1247908273463,668.735456519445,6.186056108952864,59.469341100612915,79.8451903400532,137.87528913853828,uJy
cx0100-7211,15.179749,-72.192726,4,513.7634118512167,577.4699062621132,1.8426682231461262,19.056635216908234,12.288586611835115,3.4093444679151736,uJy
